省份,城市,二手房,新房,租房
安徽,安庆,19583,,6828
安徽,阜阳,22802,,
安徽,合肥,106404,305,19688
安徽,马鞍山,25859,,4171
安徽,芜湖,41818,,8408
北京,北京,124899,250,76300
重庆,重庆,229520,842,57912
福建,福州,40376,,33001
福建,泉州,27623,,19111
福建,厦门,32179,201,27253
福建,漳州,36862,,14582
广东,东莞,73012,226,30808
广东,佛山,116369,477,49514
广东,广州,135634,,90199
广东,惠州,77848,385,29817
广东,江门,10990,,4331
广东,清远,15374,,5004
广东,深圳,34715,995,50814
广东,珠海,37592,,17416
广东,湛江,11500,,6039
广东,中山,53042,,17611
广西,北海,20071,,2221
广西,防城港,6933,,
广西,桂林,15390,,5464
广西,柳州,22660,,6280
广西,南宁,36623,,17938
贵州,贵阳,43445,,18474
甘肃,兰州,33472,,13341
甘肃,天水,2938,,
河北,保定,9364,,1540
河北,承德,7897,,
河北,邯郸,16469,,
河北,廊坊,62039,225,25667
河北,石家庄,49012,352,17641
河北,唐山,35248,,
河北,张家口,23080,,
湖北,鄂州,5008,,
湖北,黄石,8779,,3039
湖北,黄冈,4469,,
湖北,武汉,,478,46678
湖北,襄阳,16165,,6706
湖北,宜昌,18817,,3848
海南,澄迈,1602,,
海南,海口,14905,124,20534
海南,三亚,4145,114,2563
湖南,长沙,55253,598,27364
湖南,常德,16736,,4877
湖南,衡阳,6048,,
湖南,湘西,1992,,
湖南,岳阳,6198,,1847
湖南,株洲,14351,,7190
河南,开封,12906,,6285
河南,洛阳,20041,,6359
河南,平顶山,10095,,
河南,濮阳,13559,,
河南,新乡,19381,,4549
河南,许昌,10449,,4535
河南,郑州,113499,,39618
河南,周口,22809,,
河南,驻马店,5301,,
黑龙江,哈尔滨,109219,,18039
江西,赣州,22037,,4754
江西,九江,25289,,9861
江西,吉安,16010,,4990
江西,南昌,71201,,23948
江西,上饶,16060,,11327
江苏,常州,41734,,10287
江苏,常熟,6375,,
江苏,丹阳,2649,,
江苏,海门,4864,,
江苏,淮安,45754,,8980
江苏,江阴,3605,,
江苏,句容,13984,,
江苏,昆山,49489,,12945
江苏,南京,177930,580,54052
江苏,南通,71360,236,17173
江苏,苏州,162125,443,43497
江苏,无锡,55927,205,16887
江苏,徐州,44834,134,14049
江苏,盐城,26264,,10297
江苏,镇江,42217,,12416
吉林,长春,76400,,
吉林,吉林,20350,,2123
辽宁,大连,118353,253,31669
辽宁,丹东,10893,,515
辽宁,抚顺,1334,,
辽宁,沈阳,146109,376,48718
内蒙古,包头,34961,,5783
内蒙古,赤峰,35653,,
内蒙古,呼和浩特,44681,,15164
内蒙古,通辽,5054,,
宁夏,银川,46714,,8783
山东,菏泽,12171,,
山东,济南,22219,320,54339
山东,济宁,6087,,
山东,临沂,10650,,9876
山东,青岛,23447,689,46367
山东,泰安,5836,,
山东,潍坊,21393,,13438
山东,威海,12760,,1744
山东,烟台,21604,313,14800
山东,淄博,7044,,3136
四川,成都,205062,1244,56777
四川,德阳,11860,,
四川,达州,6671,,1454
四川,广元,6438,,
四川,凉山,9020,,2852
四川,绵阳,22272,,5374
四川,南充,11814,,4938
四川,攀枝花,10088,,
四川,遂宁,15654,,
四川,宜宾,11599,,3085
四川,雅安,3255,,
四川,资阳,3536,,
陕西,宝鸡,13158,,5580
陕西,汉中,8250,,3093
陕西,西安,111332,337,84949
陕西,咸阳,15337,,12080
山西,晋中,3394,,
山西,太原,33350,200,23075
山西,运城,6953,,
上海,上海,,438,60294
天津,天津,178689,551,67283
新疆,乌鲁木齐,26906,,
云南,大理,7793,,1914
云南,昆明,43438,,23508
云南,西双版纳,1217,,377
浙江,杭州,136018,690,79649
浙江,湖州,28680,,10907
浙江,嘉兴,52364,219,11075
浙江,金华,14012,,2947
浙江,宁波,83143,,22332
浙江,衢州,6957,,
浙江,绍兴,34149,,13506
浙江,台州,19923,,7078
浙江,温州,36354,,20994
浙江,义乌,234,,
